sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
j14282	j14282.raw	81002	B03	B	j14282	TAC4	TAC4	Y
j14283	j14283.raw	81002	B02	B	j14283	DEFB106A	DEFB106A	Y
j14285	j14285.raw	81002	A11	B	j14285	MTCP1NB	MTCP1NB	Y
j14294	j14294.raw	81002	A04	B	j14294	UQCR10	UQCR10	Y
j14295	j14295.raw	81002	A03	B	j14295	ATOX1	ATOX1	Y
j14871	j14871.raw	81130	A01	A	j14871	KLHL11	KLHL11	Y
j14872	j14872.raw	81130	A02	A	j14872	ECEL1	ECEL1	Y
j14873	j14873.raw	81130	A03	A	j14873	ZMYND8	ZMYND8	Y
j14874	j14874.raw	81130	A06	A	j14874	TLR10	TLR10	Y
j14875	j14875.raw	81130	A07	A	j14875	PCDHGA6	PCDHGA6	Y
j14876	j14876.raw	81130	A10	A	j14876	AXIN2	AXIN2	Y
j14878	j14878.raw	81130	C01	A	j14878	VEZT	VEZT	Y
j14880	j14880.raw	81130	C04	A	j14880	PCDHB3	PCDHB3	Y
j14881	j14881.raw	81130	C05	A	j14881	RGL1	RGL1	Y
j14884	j14884.raw	81130	C09	A	j14884	ABTB2	ABTB2	Y
j14885	j14885.raw	81130	C11	A	j14885	DNM2	DNM2	Y
j14889	j14889.raw	81130	D11	B	j14889	DDHD1	DDHD1	Y
j14890	j14890.raw	81130	D10	B	j14890	TRPC3	TRPC3	Y
j14891	j14891.raw	81130	D08	B	j14891	KIF7	KIF7	Y
j14893	j14893.raw	81130	D06	B	j14893	PCDHA8	PCDHA8	Y
j14894	j14894.raw	81130	D05	B	j14894	TMEM63C	TMEM63C	Y
j14895	j14895.raw	81130	D04	B	j14895	CASD1	CASD1	Y
j14896	j14896.raw	81130	D03	B	j14896	TRPV3	TRPV3	Y
j14897	j14897.raw	81130	D02	B	j14897	CPSF2	CPSF2	Y
j14898	j14898.raw	81130	D01	B	j14898	ZNF280C	ZNF280C	Y
j14907	j14907.raw	81130	G10	B	j14907	KIAA1274	KIAA1274	Y
j14908	j14908.raw	81130	G09	B	j14908	TRIM6-TRIM34	TRIM6-TRIM34	Y
j14909	j14909.raw	81130	G08	B	j14909	SEMA4C	SEMA4C	Y
